ID,X,Y,spud year,Direction,
Fut-OW-00097,6.162608E+05,3.551922E+06,2033,H,
Fut-OW-00098,6.255395E+05,3.572277E+06,2033,H,
Fut-OW-00099,6.052653E+05,3.566705E+06,2026,H,
Fut-OW-00100,6.235943E+05,3.553877E+06,2041,H,
Fut-OW-00101,6.268556E+05,3.564754E+06,2044,H,
Fut-OW-00102,6.119794E+05,3.558032E+06,2023,H,
Fut-OW-00103,6.270616E+05,3.573846E+06,2031,H,
Fut-OW-00104,6.153638E+05,3.557309E+06,2040,H,
Fut-OW-00105,6.331102E+05,3.566880E+06,2027,H,
Fut-OW-00106,6.151150E+05,3.550589E+06,2025,H,
Fut-OW-00107,6.265744E+05,3.563507E+06,2038,H,
Fut-OW-00108,6.118406E+05,3.573025E+06,2046,H,
Fut-OW-00109,6.261534E+05,3.548723E+06,2038,H,
Fut-OW-00110,6.089080E+05,3.572555E+06,2037,H,
Fut-OW-00111,6.302943E+05,3.553828E+06,2028,H,
Fut-OW-00112,6.301711E+05,3.560701E+06,2033,H,
Fut-OW-00113,6.230991E+05,3.568842E+06,2043,H,
Fut-OW-00114,6.289428E+05,3.545738E+06,2044,H,
Fut-OW-00115,6.112847E+05,3.547158E+06,2038,H,
Fut-OW-00116,6.309340E+05,3.546102E+06,2035,H,
Fut-OW-00117,6.149423E+05,3.565160E+06,2043,H,
Fut-OW-00118,6.294549E+05,3.546041E+06,2038,H,
Fut-OW-00119,6.071894E+05,3.550427E+06,2031,H,
Fut-OW-00120,6.275528E+05,3.570138E+06,2037,H,
Fut-OW-00121,6.167749E+05,3.563861E+06,2027,H,
Fut-OW-00122,6.067826E+05,3.576276E+06,2045,H,
Fut-OW-00123,6.342811E+05,3.574624E+06,2024,H,
Fut-OW-00124,6.287253E+05,3.550266E+06,2041,H,
Fut-OW-00125,6.085332E+05,3.563390E+06,2038,H,
Fut-OW-00126,6.265451E+05,3.557772E+06,2042,H,
Fut-OW-00127,6.239353E+05,3.547409E+06,2026,H,
Fut-OW-00128,6.334596E+05,3.567242E+06,2044,H,
Fut-OW-00129,6.076999E+05,3.566885E+06,2041,H,
Fut-OW-00130,6.347364E+05,3.570862E+06,2035,H,
Fut-OW-00131,6.139708E+05,3.552673E+06,2030,H,
Fut-OW-00132,6.223556E+05,3.576761E+06,2034,H,
Fut-OW-00133,6.289500E+05,3.553920E+06,2030,H,
Fut-OW-00134,6.242158E+05,3.559419E+06,2031,H,
Fut-OW-00135,6.194647E+05,3.553734E+06,2034,H,
Fut-OW-00136,6.171989E+05,3.569532E+06,2035,H,
Fut-OW-00137,6.167768E+05,3.545993E+06,2032,H,
Fut-OW-00138,6.226268E+05,3.543662E+06,2023,H,
Fut-OW-00139,6.073068E+05,3.544833E+06,2033,H,
Fut-OW-00140,6.176648E+05,3.561897E+06,2044,H,
Fut-OW-00141,6.258431E+05,3.570219E+06,2044,H,
Fut-OW-00142,6.331012E+05,3.559472E+06,2042,H,
Fut-OW-00143,6.082116E+05,3.554590E+06,2039,H,
Fut-OW-00144,6.176404E+05,3.553900E+06,2041,H,
Fut-OW-00145,6.128459E+05,3.545705E+06,2029,H,
Fut-OW-00146,6.186831E+05,3.545382E+06,2029,H,
Fut-OW-00147,6.241784E+05,3.577261E+06,2042,H,
Fut-OW-00148,6.049951E+05,3.566965E+06,2034,H,
Fut-OW-00149,6.145927E+05,3.570437E+06,2026,H,
Fut-OW-00150,6.259733E+05,3.549896E+06,2021,H,
Fut-OW-00151,6.306011E+05,3.574359E+06,2030,H,
Fut-OW-00152,6.326921E+05,3.573868E+06,2037,H,
Fut-OW-00153,6.072398E+05,3.549840E+06,2021,H,
Fut-OW-00154,6.306947E+05,3.556497E+06,2038,H,
Fut-OW-00155,6.218719E+05,3.552700E+06,2029,H,
Fut-OW-00156,6.331331E+05,3.558028E+06,2035,H,
Fut-OW-00157,6.078277E+05,3.546533E+06,2026,H,
Fut-OW-00158,6.312560E+05,3.559205E+06,2027,H,
Fut-OW-00159,6.117881E+05,3.554184E+06,2021,H,
Fut-OW-00160,6.224095E+05,3.548540E+06,2036,H,
Fut-OW-00161,6.137313E+05,3.555435E+06,2034,H,
Fut-OW-00162,6.202788E+05,3.571490E+06,2025,H,
Fut-OW-00163,6.335764E+05,3.550947E+06,2023,H,
Fut-OW-00164,6.177119E+05,3.551058E+06,2025,H,
Fut-OW-00165,6.297751E+05,3.560768E+06,2043,H,
Fut-OW-00166,6.262494E+05,3.570979E+06,2023,H,
Fut-OW-00167,6.191854E+05,3.572619E+06,2022,H,
Fut-OW-00168,6.270076E+05,3.544907E+06,2039,H,
Fut-OW-00169,6.066014E+05,3.564386E+06,2043,H,
Fut-OW-00170,6.079954E+05,3.575775E+06,2043,H,
Fut-OW-00171,6.249372E+05,3.568415E+06,2040,H,
Fut-OW-00172,6.326491E+05,3.566704E+06,2030,H,
Fut-OW-00173,6.310165E+05,3.569314E+06,2026,H,
Fut-OW-00174,6.171028E+05,3.563155E+06,2038,H,
Fut-OW-00175,6.313486E+05,3.576789E+06,2029,H,
Fut-OW-00176,6.056463E+05,3.553634E+06,2035,H,
Fut-OW-00177,6.075048E+05,3.567455E+06,2025,H,
Fut-OW-00178,6.267815E+05,3.552646E+06,2037,H,
Fut-OW-00179,6.331786E+05,3.568197E+06,2030,H,
Fut-OW-00180,6.178790E+05,3.542455E+06,2036,H,
Fut-OW-00181,6.238393E+05,3.572533E+06,2037,H,
Fut-OW-00182,6.072475E+05,3.550310E+06,2042,H,
Fut-OW-00183,6.082378E+05,3.562908E+06,2033,H,
Fut-OW-00184,6.179180E+05,3.550282E+06,2024,H,
Fut-OW-00185,6.106008E+05,3.573597E+06,2027,H,
Fut-OW-00186,6.320599E+05,3.545337E+06,2026,H,
Fut-OW-00187,6.280159E+05,3.542864E+06,2025,H,
Fut-OW-00188,6.194888E+05,3.548587E+06,2038,H,
Fut-OW-00189,6.163851E+05,3.550664E+06,2032,H,
Fut-OW-00190,6.060543E+05,3.545321E+06,2041,H,
Fut-OW-00191,6.083881E+05,3.575037E+06,2029,H,
Fut-OW-00192,6.307069E+05,3.566273E+06,2042,H,
Fut-OW-00193,6.070088E+05,3.549664E+06,2025,H,
Fut-OW-00194,6.061748E+05,3.573197E+06,2031,H,
Fut-OW-00195,6.212721E+05,3.552757E+06,2034,H,
Fut-OW-00196,6.301316E+05,3.575618E+06,2036,H,
Fut-OW-00197,6.175750E+05,3.573672E+06,2028,H,
Fut-OW-00198,6.268810E+05,3.576699E+06,2022,H,
Fut-OW-00199,6.153067E+05,3.554601E+06,2021,H,
Fut-OW-00200,6.231686E+05,3.544768E+06,2035,H,
Fut-OW-00201,6.210579E+05,3.562736E+06,2031,H,
Fut-OW-00202,6.247578E+05,3.552758E+06,2040,H,
Fut-OW-00203,6.211376E+05,3.550969E+06,2023,H,
Fut-OW-00204,6.248041E+05,3.573437E+06,2030,H,
Fut-OW-00205,6.315716E+05,3.543784E+06,2039,H,
Fut-OW-00206,6.303222E+05,3.542800E+06,2030,H,
Fut-OW-00207,6.205867E+05,3.546830E+06,2026,H,
Fut-OW-00208,6.224117E+05,3.571068E+06,2027,H,
Fut-OW-00209,6.235116E+05,3.545984E+06,2034,H,
Fut-OW-00210,6.219024E+05,3.546297E+06,2024,H,
Fut-OW-00211,6.285918E+05,3.562224E+06,2029,H,
Fut-OW-00212,6.191138E+05,3.552736E+06,2046,H,
Fut-OW-00213,6.269966E+05,3.570188E+06,2032,H,
Fut-OW-00214,6.255296E+05,3.547636E+06,2031,H,
Fut-OW-00215,6.053766E+05,3.573639E+06,2029,H,
Fut-OW-00216,6.185028E+05,3.575378E+06,2028,H,
Fut-OW-00217,6.044420E+05,3.563953E+06,2036,H,
Fut-OW-00218,6.053343E+05,3.546462E+06,2039,H,
Fut-OW-00219,6.113677E+05,3.561387E+06,2025,H,
Fut-OW-00220,6.266572E+05,3.555334E+06,2030,H,
Fut-OW-00221,6.245183E+05,3.565495E+06,2038,H,
Fut-OW-00222,6.138857E+05,3.546421E+06,2022,H,
Fut-OW-00223,6.180069E+05,3.562423E+06,2038,H,
Fut-OW-00224,6.309615E+05,3.576194E+06,2043,H,
Fut-OW-00225,6.236126E+05,3.572822E+06,2033,H,
Fut-OW-00226,6.203801E+05,3.556966E+06,2023,H,
Fut-OW-00227,6.048487E+05,3.575661E+06,2022,H,
Fut-OW-00228,6.111842E+05,3.574480E+06,2046,H,
Fut-OW-00229,6.238485E+05,3.542892E+06,2031,H,
Fut-OW-00230,6.196603E+05,3.574680E+06,2028,H,
Fut-OW-00231,6.110926E+05,3.559928E+06,2043,H,
Fut-OW-00232,6.299644E+05,3.575702E+06,2023,H,
Fut-OW-00233,6.111965E+05,3.563948E+06,2032,H,
Fut-OW-00234,6.303459E+05,3.562690E+06,2043,H,
Fut-OW-00235,6.127209E+05,3.546113E+06,2025,H,
Fut-OW-00236,6.238518E+05,3.563695E+06,2023,H,
Fut-OW-00237,6.343039E+05,3.572191E+06,2041,H,
Fut-OW-00238,6.163731E+05,3.551753E+06,2023,H,
Fut-OW-00239,6.093899E+05,3.568335E+06,2026,H,
Fut-OW-00240,6.187483E+05,3.567776E+06,2039,H,
Fut-OW-00241,6.183816E+05,3.547553E+06,2036,H,
Fut-OW-00242,6.117324E+05,3.564686E+06,2043,H,
Fut-OW-00243,6.072042E+05,3.558358E+06,2035,H,
Fut-OW-00244,6.227861E+05,3.557942E+06,2036,H,
Fut-OW-00245,6.112651E+05,3.553996E+06,2021,H,
Fut-OW-00246,6.347619E+05,3.557003E+06,2027,H,
Fut-OW-00247,6.211439E+05,3.558804E+06,2038,H,
Fut-OW-00248,6.084661E+05,3.554909E+06,2030,H,
Fut-OW-00249,6.346318E+05,3.565151E+06,2039,H,
Fut-OW-00250,6.185392E+05,3.558153E+06,2038,H,
Fut-OW-00251,6.348838E+05,3.544186E+06,2036,H,
Fut-OW-00252,6.113649E+05,3.559617E+06,2042,H,
Fut-OW-00253,6.207008E+05,3.546154E+06,2043,H,
Fut-OW-00254,6.156493E+05,3.561171E+06,2045,H,
Fut-OW-00255,6.128766E+05,3.563903E+06,2039,H,
Fut-OW-00256,6.176100E+05,3.568475E+06,2024,H,
Fut-OW-00257,6.204600E+05,3.546476E+06,2044,H,
Fut-OW-00258,6.192289E+05,3.559308E+06,2046,H,
Fut-OW-00259,6.073004E+05,3.572834E+06,2042,H,
Fut-OW-00260,6.317834E+05,3.560249E+06,2042,H,
Fut-OW-00261,6.277245E+05,3.557515E+06,2042,H,
Fut-OW-00262,6.162136E+05,3.555773E+06,2032,H,
Fut-OW-00263,6.229509E+05,3.564675E+06,2026,H,
Fut-OW-00264,6.239595E+05,3.569651E+06,2044,H,
Fut-OW-00265,6.074016E+05,3.561299E+06,2032,H,
Fut-OW-00266,6.325171E+05,3.568479E+06,2030,H,
Fut-OW-00267,6.210567E+05,3.571011E+06,2022,H,
Fut-OW-00268,6.057063E+05,3.541364E+06,2026,H,
Fut-OW-00269,6.170629E+05,3.549046E+06,2028,H,
Fut-OW-00270,6.234530E+05,3.563408E+06,2026,H,
Fut-OW-00271,6.119218E+05,3.564783E+06,2040,H,
Fut-OW-00272,6.054039E+05,3.542838E+06,2029,H,
Fut-OW-00273,6.086259E+05,3.542054E+06,2025,H,
Fut-OW-00274,6.302536E+05,3.561656E+06,2040,H,
Fut-OW-00275,6.271105E+05,3.558686E+06,2034,H,
Fut-OW-00276,6.320097E+05,3.542040E+06,2027,H,
Fut-OW-00277,6.166016E+05,3.541613E+06,2029,H,
Fut-OW-00278,6.208835E+05,3.543322E+06,2037,H,
Fut-OW-00279,6.089371E+05,3.571210E+06,2046,H,
Fut-OW-00280,6.183606E+05,3.572442E+06,2033,H,
Fut-OW-00281,6.341058E+05,3.574581E+06,2033,H,
Fut-OW-00282,6.087496E+05,3.561831E+06,2023,H,
Fut-OW-00283,6.132706E+05,3.565546E+06,2031,H,
Fut-OW-00284,6.262449E+05,3.559115E+06,2044,H,
Fut-OW-00285,6.282066E+05,3.557214E+06,2027,H,
Fut-OW-00286,6.276029E+05,3.572869E+06,2024,H,
Fut-OW-00287,6.127225E+05,3.577555E+06,2045,H,
Fut-OW-00288,6.301318E+05,3.556389E+06,2031,H,
Fut-OW-00289,6.149316E+05,3.575701E+06,2037,H,
Fut-OW-00290,6.206203E+05,3.567772E+06,2022,H,
Fut-OW-00291,6.281154E+05,3.556930E+06,2046,H,
Fut-OW-00292,6.292871E+05,3.572982E+06,2045,H,
Fut-OW-00293,6.135106E+05,3.545331E+06,2041,H,
Fut-OW-00294,6.293316E+05,3.562562E+06,2022,H,
Fut-OW-00295,6.263633E+05,3.569905E+06,2041,H,
Fut-OW-00296,6.055679E+05,3.543933E+06,2044,H,
Fut-OW-00297,6.118621E+05,3.572091E+06,2038,H,
Fut-OW-00298,6.213503E+05,3.561472E+06,2040,H,
Fut-OW-00299,6.137991E+05,3.570560E+06,2024,H,
Fut-OW-00300,6.343189E+05,3.559650E+06,2025,H,
Fut-OW-00301,6.178461E+05,3.566170E+06,2025,H,
Fut-OW-00302,6.182283E+05,3.561343E+06,2043,H,
Fut-OW-00303,6.323570E+05,3.576403E+06,2037,H,
Fut-OW-00304,6.347953E+05,3.567919E+06,2026,H,
Fut-OW-00305,6.131008E+05,3.562196E+06,2045,H,
Fut-OW-00306,6.120069E+05,3.559191E+06,2031,H,
Fut-OW-00307,6.156404E+05,3.563603E+06,2025,H,
Fut-OW-00308,6.285059E+05,3.554766E+06,2024,H,
Fut-OW-00309,6.164349E+05,3.544877E+06,2036,H,
Fut-OW-00310,6.265665E+05,3.556525E+06,2029,H,
Fut-OW-00311,6.204700E+05,3.550264E+06,2023,H,
Fut-OW-00312,6.273129E+05,3.549041E+06,2032,H,
Fut-OW-00313,6.250141E+05,3.558047E+06,2021,H,
Fut-OW-00314,6.118298E+05,3.570164E+06,2043,H,
Fut-OW-00315,6.288471E+05,3.566194E+06,2030,H,
Fut-OW-00316,6.118355E+05,3.558618E+06,2036,H,
Fut-OW-00317,6.184636E+05,3.552224E+06,2027,H,
Fut-OW-00318,6.093718E+05,3.560113E+06,2041,H,
Fut-OW-00319,6.345254E+05,3.543651E+06,2029,H,
Fut-OW-00320,6.279473E+05,3.572403E+06,2027,H,
Fut-OW-00321,6.291229E+05,3.565543E+06,2033,H,
Fut-OW-00322,6.277504E+05,3.560297E+06,2040,H,
Fut-OW-00323,6.103187E+05,3.567212E+06,2023,H,
Fut-OW-00324,6.326183E+05,3.546387E+06,2031,H,
Fut-OW-00325,6.327409E+05,3.563082E+06,2039,H,
Fut-OW-00326,6.290986E+05,3.576711E+06,2032,H,
Fut-OW-00327,6.176878E+05,3.568745E+06,2032,H,
Fut-OW-00328,6.110251E+05,3.567317E+06,2040,H,
Fut-OW-00329,6.049945E+05,3.556692E+06,2027,H,
Fut-OW-00330,6.313771E+05,3.551788E+06,2022,H,
Fut-OW-00331,6.307529E+05,3.553374E+06,2028,H,
Fut-OW-00332,6.262778E+05,3.555891E+06,2032,H,
Fut-OW-00333,6.258109E+05,3.545863E+06,2033,H,
Fut-OW-00334,6.276551E+05,3.563442E+06,2034,H,
Fut-OW-00335,6.088441E+05,3.572726E+06,2021,H,
Fut-OW-00336,6.120322E+05,3.545998E+06,2042,H,
Fut-OW-00337,6.311587E+05,3.567492E+06,2027,H,
Fut-OW-00338,6.059515E+05,3.571847E+06,2027,H,
Fut-OW-00339,6.106758E+05,3.577501E+06,2037,H,
Fut-OW-00340,6.297758E+05,3.566296E+06,2027,H,
Fut-OW-00341,6.199161E+05,3.551798E+06,2046,H,
Fut-OW-00342,6.308396E+05,3.554229E+06,2027,H,
Fut-OW-00343,6.166943E+05,3.547636E+06,2033,H,
Fut-OW-00344,6.240193E+05,3.573302E+06,2037,H,
Fut-OW-00345,6.209276E+05,3.563130E+06,2028,H,
Fut-OW-00346,6.087119E+05,3.575011E+06,2045,H,
Fut-OW-00347,6.113832E+05,3.550552E+06,2035,H,
Fut-OW-00348,6.305201E+05,3.549090E+06,2043,H,
Fut-OW-00349,6.261370E+05,3.571693E+06,2044,H,
Fut-OW-00350,6.228879E+05,3.571263E+06,2041,H,
Fut-OW-00351,6.228764E+05,3.569596E+06,2040,H,
Fut-OW-00352,6.120775E+05,3.565458E+06,2022,H,
Fut-OW-00353,6.180152E+05,3.541723E+06,2037,H,
Fut-OW-00354,6.213345E+05,3.552258E+06,2042,H,
Fut-OW-00355,6.105957E+05,3.569526E+06,2039,H,
Fut-OW-00356,6.197723E+05,3.544031E+06,2027,H,
Fut-OW-00357,6.190108E+05,3.556430E+06,2036,H,
Fut-OW-00358,6.291539E+05,3.545294E+06,2034,H,
Fut-OW-00359,6.262824E+05,3.558436E+06,2036,H,
Fut-OW-00360,6.230149E+05,3.550656E+06,2043,H,
Fut-OW-00361,6.238951E+05,3.551636E+06,2044,H,
Fut-OW-00362,6.058484E+05,3.550419E+06,2021,H,
Fut-OW-00363,6.200083E+05,3.543862E+06,2041,H,
Fut-OW-00364,6.147336E+05,3.557348E+06,2035,H,
Fut-OW-00365,6.244576E+05,3.575638E+06,2040,H,
Fut-OW-00366,6.082579E+05,3.551002E+06,2022,H,
Fut-OW-00367,6.271609E+05,3.552453E+06,2027,H,
Fut-OW-00368,6.224549E+05,3.546894E+06,2040,H,
Fut-OW-00369,6.084463E+05,3.561536E+06,2022,H,
Fut-OW-00370,6.321491E+05,3.577710E+06,2046,H,
Fut-OW-00371,6.210093E+05,3.552247E+06,2036,H,
Fut-OW-00372,6.141431E+05,3.569730E+06,2041,H,
Fut-OW-00373,6.090238E+05,3.542928E+06,2038,H,
Fut-OW-00374,6.232628E+05,3.560339E+06,2042,H,
Fut-OW-00375,6.210824E+05,3.543788E+06,2042,H,
Fut-OW-00376,6.305939E+05,3.542452E+06,2027,H,
Fut-OW-00377,6.093788E+05,3.554152E+06,2044,H,
Fut-OW-00378,6.154174E+05,3.564489E+06,2033,H,
Fut-OW-00379,6.330949E+05,3.559127E+06,2025,H,
Fut-OW-00380,6.189936E+05,3.573780E+06,2036,H,
Fut-OW-00381,6.207479E+05,3.564072E+06,2042,H,
Fut-OW-00382,6.281942E+05,3.552420E+06,2030,H,
Fut-OW-00383,6.247398E+05,3.545095E+06,2037,H,
Fut-OW-00384,6.072453E+05,3.570605E+06,2026,H,
Fut-OW-00385,6.071456E+05,3.553721E+06,2042,H,
Fut-OW-00386,6.167238E+05,3.546700E+06,2024,H,
Fut-OW-00387,6.322664E+05,3.569184E+06,2031,H,
Fut-OW-00388,6.283469E+05,3.546344E+06,2021,H,
Fut-OW-00389,6.212288E+05,3.564553E+06,2046,H,
Fut-OW-00390,6.090132E+05,3.556695E+06,2037,H,
Fut-OW-00391,6.199501E+05,3.572055E+06,2027,H,
Fut-OW-00392,6.085838E+05,3.546692E+06,2029,H,
Fut-OW-00393,6.042417E+05,3.549768E+06,2024,H,
Fut-OW-00394,6.044455E+05,3.553187E+06,2033,H,
Fut-OW-00395,6.213149E+05,3.553715E+06,2036,H,
Fut-OW-00396,6.321424E+05,3.554525E+06,2023,H,
Fut-OW-00397,6.348079E+05,3.558870E+06,2021,H,
Fut-OW-00398,6.260707E+05,3.548100E+06,2042,H,
Fut-OW-00399,6.064612E+05,3.562430E+06,2037,H,
Fut-OW-00400,6.327190E+05,3.552839E+06,2043,H,
Fut-OW-00401,6.270711E+05,3.550821E+06,2024,H,
Fut-OW-00402,6.079672E+05,3.559293E+06,2045,H,
Fut-OW-00403,6.170549E+05,3.567065E+06,2035,H,
Fut-OW-00404,6.129249E+05,3.568991E+06,2036,H,
Fut-OW-00405,6.078613E+05,3.556312E+06,2030,H,
Fut-OW-00406,6.320813E+05,3.555001E+06,2038,H,
Fut-OW-00407,6.241890E+05,3.573787E+06,2044,H,
Fut-OW-00408,6.160911E+05,3.572919E+06,2045,H,
Fut-OW-00409,6.286527E+05,3.545172E+06,2027,H,
Fut-OW-00410,6.265369E+05,3.565194E+06,2022,H,
Fut-OW-00411,6.088956E+05,3.554387E+06,2036,H,
Fut-OW-00412,6.282474E+05,3.558603E+06,2038,H,
Fut-OW-00413,6.313554E+05,3.572942E+06,2024,H,
Fut-OW-00414,6.145191E+05,3.545010E+06,2034,H,
Fut-OW-00415,6.074833E+05,3.570639E+06,2029,H,
Fut-OW-00416,6.171484E+05,3.575908E+06,2038,H,
Fut-OW-00417,6.324972E+05,3.572348E+06,2034,H,
Fut-OW-00418,6.088196E+05,3.567252E+06,2039,H,
Fut-OW-00419,6.333438E+05,3.575049E+06,2025,H,
Fut-OW-00420,6.249776E+05,3.550528E+06,2030,H,
Fut-OW-00421,6.274538E+05,3.568274E+06,2023,H,
Fut-OW-00422,6.190021E+05,3.574181E+06,2043,H,
Fut-OW-00423,6.313698E+05,3.556857E+06,2022,H,
Fut-OW-00424,6.277301E+05,3.562873E+06,2025,H,
Fut-OW-00425,6.277293E+05,3.572230E+06,2029,H,
Fut-OW-00426,6.092520E+05,3.571425E+06,2044,H,
Fut-OW-00427,6.174110E+05,3.559187E+06,2031,H,
Fut-OW-00428,6.218052E+05,3.559440E+06,2029,H,
Fut-OW-00429,6.068198E+05,3.545191E+06,2042,H,
Fut-OW-00430,6.201282E+05,3.570484E+06,2035,H,
Fut-OW-00431,6.326819E+05,3.571535E+06,2021,H,
Fut-OW-00432,6.294407E+05,3.545578E+06,2026,H,
Fut-OW-00433,6.053912E+05,3.543408E+06,2040,H,
Fut-OW-00434,6.327122E+05,3.548063E+06,2023,H,
Fut-OW-00435,6.303814E+05,3.561940E+06,2030,H,
Fut-OW-00436,6.291031E+05,3.558144E+06,2032,H,
